對應場景專案,業務痛點,主責部門,核心 AI 任務,商業價值評估 (V),數據就緒度評估 (D),一線使用阻力評估 (R),ROI 綜合評估指數,導入優先級決策
自建地端 RAG,自建地端 RAG 資料雜亂致 AI 給出嚴重幻覺,資訊部 / 製造課,Notion 結構化清洗與 NotebookLM 輕量檢索,極高 (規避排障誤導危機，保障 35 條線排障效率),中等 (有大量 CAD 與化驗日誌，但格式混亂不堪),中等 (IT 經理對放棄地端實體伺服器重資產抱有防備),9.4,🌟 P0 優先級 (首期試點)
大師傅台語語音轉譯,茂雄師習慣台語交班排斥打字與平板提示詞,運維部 / 調鍛車間,Whisper ASR 國台語口譯轉譯與 VAD 降噪,極高 (消除一線師傅平板打字物理障礙，收集真實排障數據),中等 (有口語交代習慣，但現場敲擊高頻噪音極大),極高 (茂雄師強烈排斥，擔心技術被 AI 掏空而失業),9.2,🌟 P0 優先級 (首期試點)
地端伺服器輕量化,地端實體伺服器硬體維護成本 TCO 每年50萬,財務部 / 總務課,Notion 結構唯讀匯出與 NotebookLM 隔離沙盒,高 (規避高昂硬體維護折舊開銷，釋放財務預算空間),高 (有現成 Notion SaaS 帳戶與 Google API 監控),低 (財務部積極推動降本增效，無一線工人使用阻力),8.8,🌟 P1 優先級 (第二階段)
DLP 去敏感過濾,大模型呼叫 API 敏感個資與專利進價洩密,資訊部 / 技術課,DLP 資料去敏感屏蔽與 Rate Limiter 算力控制,高 (保護 CAD 專利尺寸與振豐商標機密，防範內控漏洞),高 (有 Clear API 接口且敏感詞清單已就緒),低 (資訊長對高資安合規表示支持，無一線阻力),8.5,🌟 P1 優先級 (第二階段)
模具壽命聲學預警,冷鍛模具磨損崩刀致不良品流出BMW客訴,品管部 / 冷鍛線,聲學與電能異常特徵模具壽命預警,極高 (保障合格供應商資格，規避百萬級退貨索賠),中等 (有歷史報廢日誌，但缺乏實時高頻壓力數據),極高 (阿茂師強烈抗拒，擔心技術被AI掏空而失業),9.6,🌟 P0 優先級 (首期試點)
現場語音免打字報工,現場滿手油污無法在 iPad 上打字報工,製造部 / 換模車間,ASR 國台語語音報工與邊緣 VAD 降噪,高 (消除一線人員平板輸入障礙，提高工時效率),中等 (有標準工單格式，但車間噪聲極大),極高 (阿茂師拒絕配合平板，認為是高管考核監視),9.0,🌟 P0 優先級 (首期試點)
ERP 唯讀中介緩衝,CIO 廖經理防範 AI 寫入核心 ERP 污染數據,資訊部 / 技術課,非侵入式唯讀副本緩衝資料庫單向同步,高 (防範帳務系統污染，化解廖經理技術阻力),高 (有現成鼎新 ERP API 接口，但安全要求高),中等 (資訊部對 AI Agent 抱持極強防備與杯葛),8.8,🌟 P1 優先級 (第二階段)
API 算力計費監控,CFO 劉總監防範算力 Token 帳單失控,財務部 / 總務課,API 算力路由與 Loop Guard 死循環防禦,中等 (鎖死 Token 成本，防範帳單爆表),高 (有 OpenAI 帳單管理後台),低 (財務部積極推動成本控管，無一線阻力),8.0,🌟 P1 優先級 (第二階段)
出口螺絲熱處理爐溫優化,出口螺絲熱處理製程爐溫失衡,製造部 / 熱處理課,"爐溫微調 LightGBM 預測模型,本地樹莓派地端運行",9(直接影響螺絲脆斷良率與外銷大單),7(歷史溫控與碳勢日誌完整但有殘缺),8(輝哥為首的現場技術工強烈排斥),7.9,🌟 P0 優先級 (首期試點)
熱處理碳勢濃度預估,熱處理碳勢濃度失控引發氫脆,品保部 / 熱處理課,"爐內碳勢預估與平衡推薦模型,Modbus 唯讀拉取",8(氫脆斷裂為外銷索賠首要死穴),6(歷史碳勢探針數據需清洗與特徵降噪),8(輝哥堅信手動調閥經驗),6.0,🌟 P0 優先級 (首期試點)
本地離線熔斷安全盒,老舊廠房 API 斷訊死機起火隱患,資訊部 / 熱處理課,本地輕量離線運行機制 + 10ms 繼電器物理熔斷,9(影響廠房物理安全與系統持續維運),8(PLC 通訊封包與干擾頻譜已建檔),7(輝哥對系統安全有極度疑慮),10.3,🌟 P0 優先級 (首期試點)
輝哥專家大腦調度庫,師傅黑手經驗流失與新技術斷層,人資部 / 製造部,專家庫命名 + AI 「學徒調校」標記獎勵,7(老臣退休 Know-how 流失),5(口頭經驗未結構化),9(18年老臣技術被掏空與裁員恐懼),3.9,🌟 P0 優先級 (首期試點)
爐溫燃氣優化配比,熱處理連續電爐能耗過高,財務部 / 熱處理課,爐溫與碳勢燃氣/電熱優化配比算法,8(佔廠房 OPEX 35% 龐大成本),7(月度能耗帳單與產量日誌完整),5(老員工怕變快被考核),11.2,🌟 P1 優先級 (第二階段)
外銷車廠安全審計對位,外銷車廠 ISO 42001 安全審計,品保部 / 資訊部,地端隔離沙盒 + DLP 機密遮罩 + 審計日誌,8(關係到歐洲 Tier 1 客戶年度合約續簽),6(廠內安全流程未與 AI 治理對位),"3(無顯著阻力,IT/品保支持)",16.0,🌟 P0 優先級 (首期試點)
CBAM RAG 申報,歐盟 CBAM 申報工時嚴重超載,國外業務部,RAG 稅則檢索與 XML 碳排草稿自動生成,"極高 (保障 5,000 萬歐洲訂單無損通關，規避年營收 7% 處罰)",中等 (有歷史申報 Excel，但委外數據散落),極高 (Candy與業務們因懼罰心理強烈排斥與杯葛),9.2,🌟 P0 優先級 (首期試點)
委外熱處理能耗盤查,委外熱處理能耗與碳足跡不透明,製造部 / 熱處理廠 (宏達),工業能耗特徵提取與碳排向量化匹配,高 (熱處理為螺絲製造碳排最大來源),低 (老舊電爐缺乏 API，多為紙本日誌),中等 (現場班長堅守經驗，擔心自動控制責任),8.0,🌟 P1 優先級 (第二階段)
電鍍排污能耗分析,委外電鍍藥水與廢水排污碳足跡黑盒,研發部 / 電鍍廠 (振鑫),配方化學能耗分析與 RAG 配方推薦對照,高 (電鍍製程環保罰單頻繁，數據極度缺失),低 (化學工程師隱匿配方，專案卡關半年),極高 (工程師擔心獨門配方流失被裁員，故意提供偏誤數據),8.5,🌟 P1 優先級 (第二階段)
木箱體積視覺檢測,木箱包裝碳足跡手動計算易出錯,出貨包裝部,AI 視覺木箱體積偵測與防蟲煙燻標記辨識,中等 (防範海關扣關風險),中等 (有紙本出貨單與標準木箱規格),中等 (中高齡包裝老員工排斥平板打字與複雜掃描),7.5,🌟 P2 優先級 (第三階段)
缺陷誤報雙向校準,AI 缺陷誤報率高達 15% 引發人眼疲勞,品管部 / 篩選線,雙向偏見校準與背景噪聲過濾,極高 (保障出貨零瑕疵，防範特斯拉 180 萬索賠與除名危機),高 (24台機台有海量誤報影像，但缺乏標記分類),極高 (品管班長桂姐強烈反感，要求關閉 AI 檢測模組),9.5,🌟 P0 優先級 (首期試點)
有人在環瑕疵分流,品管人員現場實體翻找複檢工時翻倍,品管部 / 覆核區,有人在環 (HITL) 瑕疵分流螢幕推薦,高 (大幅縮短複檢時間，消除視覺疲勞),中等 (有歷史良率與不良品卡片日誌),高 (一線品管員習慣放大鏡實體翻找，排斥螢幕覆核),8.8,🌟 P0 優先級 (首期試點)
標記教練津貼機制,缺陷影像未標記導致模型無法微調進化,資訊部 / 技術課,標記教練津貼與一鍵標記數據流,高 (持續沉澱黃金眼經驗為數位資產，模型熟成),低 (歷史標記數據嚴重缺損，專案停擺半年),極高 (桂姐擔心大腦被 AI 掏空後失去地位而失業),8.5,🌟 P1 優先級 (第二階段)
物理偏振曝光濾光,表面沾油與反光陰影過濾,製造部 / 篩選前段,物理偏振光主動干涉濾光,中等 (降低算法端的去噪難度),中等 (有篩選機光源規格與木箱照片),低 (機台物理改裝不影響一線品管操作),7.8,🌟 P2 優先級 (第三階段)
廢水排污多變量預測,電鍍廢水超標排放面臨開罰勒令停產,製造部 / 環保課,廢水排污多變量預測與安全監控閘,極高 (保障 IATF 16949 底盤件供應商資格，規避年120萬罰款),低 (歷史排污日誌殘缺，感測器電磁干擾強),中等 (現場水肥工排斥平板打字，擔心超標責任),9.4,🌟 P0 優先級 (首期試點)
專家配方冠名收斂,化學大師傅數據作假導致模型無法收斂,研發部 / 化驗室,專家配方冠名與真實數據集收斂,極高 (電鍍良率核心 Know-how 沉澱，演算法收斂之基),低 (16年配方為大腦經驗，歷史化驗日誌人為作假偏差),極高 (明哥極度擔心獨門秘方流失後被資遣裁員，消極杯葛),9.0,🌟 P0 優先級 (首期試點)
電鍍良率尋優推薦,汽車螺栓鹽霧測試良率低於 94%,製造部 / 電鍍車間,電鍍良率預測與 LightGBM 黃金參數推薦,高 (提升底盤螺絲良率，規避客戶索賠),中等 (有歷史良率與報廢 Excel 日誌),高 (現場操作工習慣手動看藥水顏色，排斥自動參數),8.5,🌟 P1 優先級 (第二階段)
電鍍能耗向量化對接,歐盟 CBAM 綠色碳稅申報超載,國外業務部,電鍍能耗向量化對接與 XML 自動生成,高 (護航外銷歐洲大單),中等 (有歷史出貨單與標準電能數據),中等 (業務員排斥複雜化學能耗與碳稅公式),8.0,🌟 P2 優先級 (第三階段)
冷鐓機沖頭壽命預警,高速冷鐓機沖頭滑塊瞬間卡死崩壞導致交期索賠,運維部 / 冷鐓課,聲學與電能異常特徵冷鐓機壽命預警,極高 (保障交期承諾，規避年累計高達 NT$ 220 萬賠償),中等 (有歷史停機維修日誌，但缺乏實時高頻波形數據),極高 (阿忠班長抗拒，擔心系統報警是用來監視扣薪的皮鞭),9.5,🌟 P0 優先級 (首期試點)
車間語音報工系統,手沾油污拿扳手不便在 iPad 平板上打字報工,製造部 / 換模車間,Whisper ASR 國台語語音報工與 VAD 降噪,高 (消除一線人員平板操作物理阻力，提升工時效率),中等 (有紙本工單歷史，但現場電磁干擾與機械噪音極大),極高 (工人排斥在沾滿油污的 iPad 螢幕上打字點檢),9.0,🌟 P0 優先級 (首期試點)
地端 CM4 隔離分析,現場電磁干擾與網路中斷導致雲端預警失靈,資訊部 / 技術課,本地輕量樹莓派地端隔離節點離線分析,高 (確保斷網環境高可用，化解資訊部對系統污染防備),高 (可獲取馬達電流與麥克風聲學，本地運算環境就緒),中等 (資訊部對地端開源模型管理能力不足，抱防備心),8.8,🌟 P1 優先級 (第二階段)
算力路由與 Loop Guard,Token 大模型呼叫開銷失控與死循環引發爆表,財務部 / 總務課,API 算力路由與 Loop Guard 死循環防禦,中等 (鎖死 API Token 成本邊界，保障每月開銷可控),高 (有 OpenAI 與地端 API 帳單監控平台),低 (財務長強烈支持成本鎖死，無一線工人使用阻力),8.2,🌟 P1 優先級 (第二階段)
出貨混料防錯主管線,出貨混料導致車廠退貨索賠,包裝課 / 品保課,"條碼 OCR + Layout-Aware 雙引擎核對,即時紅綠燈攔截",9(直接影響 110 萬退貨與車廠供應商資格),"6(過去半年累積影像可用但標記殘缺,需鳳姐補標)",8(鳳姐主導的中高齡群體高度抗拒),6.8,🌟 P0 優先級 (首期試點)
規格細部辨識子管線,規格相近螺絲肉眼難辨(M6×1.0 vs M6×1.25),品保課 / 包裝課,視覺特徵分類 + 螺紋細部辨識模型,"7(混料根源之一,降低長期重工成本)","7(規格樣本充足,可直接訓練)","5(中高齡擔心被取代,但年輕員工接受度高)",9.8,🌟 P0 優先級 (首期試點)
鳳姐介面與隱形標記蒐集,中高齡員工平板抗拒導致資料斷糧,人資 / 包裝課 / 顧問端,紅綠燈零點擊介面 + 隱形標記蒐集,"8(資料斷糧導致過去半年專案停擺,本項解則前兩項才解得了)","4(過去半年資料殘缺,需重新累積)",9(三層恐懼最深的一項),3.6,🌟 P0 優先級 (首期試點)
包裝速度推論優化,包裝速度與品檢精度的取捨困境,包裝課,"AI 即時推論延遲 < 0.5 秒,不拖慢產線",6(影響日產能與計件薪資),8(產線速度數據完整),"6(老員工怕變慢被扣薪,年輕員工怕變快被加量)",8.0,🌟 P1 優先級 (第二階段)
新人 AI 輔助辨識,新人訓練曲線過長(看不懂規格差異),人資 / 包裝課,"AI 即時輔助辨識,新人也能達到資深判斷",7(長期降低人力流動成本),6(訓練資料與痛點 2 共用),"3(新人歡迎,無抗拒)",14.0,🌟 P0 優先級 (首期試點)
標籤客戶混貼防線,標籤客戶混貼(規格對但客戶錯),包裝課 / 業務課,Layout-Aware 版面感知模型,"8(這類客訴賠款最高,單筆可達 20-50 萬)",5(客戶標籤格式樣本待補完),"5(中等,與痛點 1 同人員)",12.8,🌟 P1 優先級 (第二階段)
語音報工,一線報工報修無法落地(手套油污),廠務 / 製造課,邊緣雙語 ASR 語音報工 + 複誦回路,"8(POC 死因第一名,解此其他才推得動)","6(歷史報工資料完整,語料需補台語工業詞)","8(中高齡師傅排斥打字,但接受講話)",6.0,🌟 P0 優先級 (首期試點)
ISO 42001 DLP/審計日誌,外銷 ISO 42001 認證缺口(DLP/審計日誌),資訊處 / 品保 / 顧問端,DLP 去識別化遮罩網閘 + 審計日誌,10(直接關係數千萬外銷合約存續),"5(現完全缺乏,需從零建置)","3(IT 主導,一線無感,阻力低)",16.7,🌟 P0 優先級 (首期試點)
ERP 唯讀緩衝,CIO 防範 AI 污染鼎新 ERP,資訊處,非侵入式 ERP 唯讀緩衝 + 寫回雙簽,"9(解除 CIO 否決票,系統才敢上線)","7(ERP 資料結構完整,唯讀對接技術成熟)","4(CIO 防衛心強,但唯讀設計可化解)",15.8,🌟 P0 優先級 (首期試點)
API 財務熔斷,CFO 防範雲端 API 成本失控,財務處 / 資訊處,API Gateway 財務熔斷 + 智慧路由,8(解除 CFO 否決票),"8(成本數據透明,閾值易設定)","3(CFO 防衛,熔斷機制可化解)",21.3,🌟 P0 優先級 (首期試點)
SBIR 補助 / 產創研抵,自籌款龐大、CFO 反彈,財務處 / 顧問端,SBIR 補助包裝 + 產創研抵歸類,"9(政策紅利攤平自籌,解 CFO 核心反彈)","6(財務數據完整,歸類待會計師確認)","2(財務主導,無一線阻力)",27.0,🌟 P0 優先級 (首期試點)
光學缺陷檢測,鍛造件光學缺陷檢測(油污反光干擾),品保課,偏見校準 + 濾鏡優化光檢 + HITL 覆核,"7(降低漏檢退貨,提升品質牌)","6(歷史檢測影像可用,標記需品管補)","5(資深品管怕被取代,可升教練化解)",8.4,🌟 P1 優先級 (第二階段)
CBAM 碳足跡 RAG,歐盟 CBAM 碳關稅申報耗時易錯,業務 / 財務 / 品保,CBAM 碳足跡計算 + 稅則解碼 RAG,"8(第二道歐洲門檻,避高額關稅罰)","5(製程碳排數據需盤整,稅則庫待建)","3(後勤作業,一線阻力低)",13.3,🌟 P1 優先級 (第二階段)
AI-Native 績效重塑,一線員工 AI 取代恐懼與抗拒,人資 / 製造課 / 品保課,AI-Native 績效重塑 + 卓越之星激勵,7(無此則前述技術全空轉),4(績效數據需重新設計指標),7(中高齡與資深員工取代焦慮深),4.0,🌟 P0 優先級 (首期試點)
供應商退場機制,AI 供應商倒閉與 vendor lock-in,資訊處 / 法務 / 顧問端,數據可攜協議 + 90 天退場機制,"6(保障治理連續性,ISO 第三方監督要求)","8(合約條款設計,技術門檻低)","2(法務與 IT 主導,無一線阻力)",24.0,🌟 P1 優先級 (第二階段)
