第 1 表：業務痛點 (問題),➔,第 2 表：方案架構名稱 (下拉選單請勾選)
客服回復技術手冊慢,➔,🔑 售後技術客服 AI 方案
研究雙簽研報：分析師人工撰寫晨報/個股報告耗時且易算錯，發布需合規,➔,🔑 研究雙簽研報
地端去識別 RAG：客戶機敏個資依法不得上公有雲，需地端閱讀提供去識別標籤分析,➔,🔑 地端去識別 RAG
漲跌/目標價恐觸證交法刑責,➔,🔑 特許 Guardrails 熔斷
HAP 篩選：傳統規則引擎誤報率過高，合規人員淹沒於雜訊,➔,🔑 AML 異常交易與 SHAP 歸因
2,,
第 1 表：業務痛點 (問題),➔,第 2 表：方案架構名稱 (下拉選單請勾選)
出貨混料導致車廠退貨索賠,➔,🔑 出貨混料防錯主管線 (註：舊資料若有殘留，可能顯示為「出貨資料微絲主要線」)
規格相近螺絲肉眼難辨(M6×1.0 vs M6×1.25),➔,🔑 規格細部辨識 (註：舊資料若有殘留，可能顯示為「規格細部轉圈子雲線」)
中高齡員工平板抗拒導致資料斷糧,➔,🔑 鳳姐介面與隱形標記蒐集 (註：舊資料若有殘留，可能顯示為「關聯介面劑隨想記憶車」)
包裝速度與品檢精度的取捨困境,➔,🔑 包裝速度推動優化 (註：舊資料若有殘留，可能顯示為「包裝速度驟變優化」)
新人訓練曲線過長(看不懂規格差異),➔,🔑 新人 AI 輔助辨識 (註：舊資料若有殘留，可能顯示為「盲人 AI 導航精雕」)
標籤客戶混貼(規格對但客戶錯),➔,🔑 標籤防線 (註：舊資料若有殘留，可能顯示為「標籤客戶泥貼防線」)
3,,
第 1 表：業務痛點 (問題),➔,第 2 表：方案架構名稱 (下拉選單請勾選)
一線報工報修無法落地(手套油污),➔,🔑 婚音報工 (註：Notion中誤拼為「婚音」，即語音報工；舊資料可能顯示為「借貸員工」)
外銷 ISO 42001 認證缺口(DLP/審計日誌),➔,🔑 ISO 42001 DLP/審計日誌
CIO 防範 AI 污染最新 ERP,➔,🔑 ERP 唯讀緩衝 (註：舊資料可能顯示為「CIO 壓裡精點要 AI 寫入放心 ERP 旁避數據」)
CFO 防範雲端 API 成本失控,➔,🔑 API 財務熔斷 (註：舊資料可能顯示為「CFO 到時防防視弊力 Token 領擊失班」)
自籌款龐大、CFO 反彈,➔,🔑 SBIR 補助 / 產創研抵
鍛造件光學缺陷檢測(油污反光干擾),➔,🔑 光學缺陷檢測
歐盟 CBAM 碳關稅申報耗時易錯,➔,🔑 CBAM 碳足跡 RAG (註：舊資料可能顯示為「CBAM 碳足時 RAG」)
一線員工 AI 取代恐懼與抗拒,➔,🔑 AI-Native 績效重塑 (註：舊資料可能顯示為「AI-Native 療效率聯」)
AI 供應商倒閉與 vendor lock-in,➔,🔑 供應商退場機制
4,,
第 1 表：業務痛點 (問題),➔,第 2 表：方案架構名稱 (下拉選單請勾選)
出口螺絲熱處理製程爐溫失衡,➔,🔑 出口螺絲熱處理爐溫優化 (或：出口螺絲熱處理淬火強度優化)
熱處理碳勢濃度失控引發氫脆,➔,🔑 熱處理碳勢濃度預估 (或：無處理防鏽濃度評估)
老舊廠房 API 斷訊死機起火隱患,➔,🔑 本地離線熔斷安全盒 (或：本地載梯照明安全盒)
師傅黑手經驗流失與新技術斷層,➔,🔑 輝哥專家大腦調度庫 (或：經營專家大腦頻度量)
熱處理連續電爐能耗過高,➔,🔑 爐溫燃氣優化配比 (或：爐溫熱氣優化配比)
外銷車廠 ISO 42001 安全審計,➔,🔑 外銷車廠安全審計對位
歐盟 CBAM 申報工時嚴重超載,➔,🔑 歐盟 CBAM 申報工時嚴重超載 (或：歐盟 CBAM 中報告工對選專研基)
委外熱處理能耗與碳足跡不透明,➔,🔑 委外熱處理能耗與碳足跡不透明 (或：委外熱處理影耗與認定跡不透明)
5,,
第 1 表：業務痛點 (問題),➔,第 2 表：方案架構名稱 (下拉選單請勾選)
電鍍廢水超標排放面臨開罰勒令停產,➔,🔑 電鍍廢水超標排放面臨開罰勒令停產
化學大師傅數據作假導致模型無法收斂,➔,🔑 化學大師傅數據作假導致模型無法收斂
汽車螺栓鹽霧測試良率低於 94%,➔,🔑 汽車螺栓鹽霧測試良率低於 94%
歐盟 CBAM 綠色碳稅申報超載,➔,🔑 歐盟 CBAM 綠色碳稅申報超載
委外電鍍藥水與廢水排污碳足跡黑盒,➔,🔑 委外電鍍藥水與廢水排污碳足跡黑盒
6,,
第 1 表：業務痛點 (問題),➔,第 2 表：方案架構名稱 (下拉選單請勾選)
AI 缺陷誤報率高達 15% 引發人眼疲勞,➔,🔑 AI 缺陷誤報率高達 15% 引發人眼疲勞
品管人員現場實體翻找複檢工時翻倍,➔,🔑 品管人員現場實體翻找複檢工時翻倍
缺陷影像未標記導致模型無法微調進化,➔,🔑 缺陷影像未標記導致模型無法微調進化
表面沾油與反光陰影過濾,➔,🔑 表面沾油與反光陰影過濾
7,,
第 1 表：業務痛點 (問題),➔,第 2 表：方案架構名稱 (下拉選單請勾選)
高速 coldheading 機沖頭滑塊瞬間卡死崩壞,➔,🔑 高速冷鐓機沖頭滑塊瞬間卡死崩壞導致交期索賠
手沾油污拿扳手不便在 iPad 上打字報工,➔,🔑 手沾油污拿扳手不便在 iPad 平板上打字報工
現場電磁干擾與網路中斷導致雲端預警失靈,➔,🔑 現場電磁干擾與網路中斷導致雲端預警失靈
Token 大模型呼叫開銷失控與死循環引發爆表,➔,🔑 Token 大模型呼叫開銷失控與死循環引發爆表
8,,
第 1 表：業務痛點 (問題),➔,第 2 表：方案架構名稱 (下拉選單請勾選)
出貨混料導致車廠退貨索賠,➔,🔑 出貨混料防錯主管線
規格相近螺絲肉眼難辨(M6×1.0 vs M6×1.25),➔,🔑 規格細部辨識子管線
中高齡員工平板抗拒導致資料斷糧,➔,🔑 鳳姐介面與隱形標記蒐集
包裝速度與品檢精度的取捨困境,➔,🔑 包裝速度推論優化
